City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Olavarria,AR,-36.8927,-60.3225,88.03,24,0,13.91,clear sky
197,Adoni,IN,15.6333,77.2833,76.06,40,0,9.24,clear sky
198,Warmbad,NA,-28.45,18.7333,68.7,58,0,19.04,clear sky
199,Birao,CF,10.2849,22.7882,83.44,10,44,6.55,scattered clouds
200,Viedma,AR,-40.8135,-62.9967,79.18,18,13,16.15,few clouds
201,Tirumullaivasal,IN,11.2333,79.8333,77.23,77,30,8.63,scattered clouds
202,Aykhal,RU,66.0,111.5,-2.38,95,100,17.27,overcast clouds
203,Ostrovnoy,RU,68.0531,39.5131,10.89,91,100,8.08,overcast clouds
204,Padang,ID,-0.9492,100.3543,75.65,86,81,4.65,broken clouds
205,Dingle,PH,10.9995,122.6711,74.25,88,84,10.04,broken clouds
206,Srednekolymsk,RU,67.45,153.6833,-44.19,100,49,2.13,scattered clouds
207,Pacific Grove,US,36.6177,-121.9166,54.07,73,100,18.01,overcast clouds
208,Codrington,AU,-38.2667,141.9667,55.0,92,7,5.37,clear sky
209,Teya,RU,60.3778,92.6267,10.06,89,99,9.84,overcast clouds
210,Hervey Bay,AU,-25.2986,152.8535,72.97,80,47,10.67,scattered clouds
211,Bertoua,CM,4.5833,13.6833,81.18,33,78,3.76,broken clouds
212,Ancud,CL,-41.8697,-73.8203,58.73,53,70,10.54,broken clouds
213,Rameswaram,IN,9.2833,79.3,80.42,79,97,17.92,overcast clouds
214,Sao Filipe,CV,14.8961,-24.4956,74.3,60,3,9.13,clear sky
215,Vardo,NO,70.3705,31.1107,24.78,86,100,9.22,overcast clouds
216,Surskoye,RU,54.4821,46.7214,23.95,97,100,7.34,overcast clouds
217,Saint George,US,37.1041,-113.5841,46.44,51,100,4.61,overcast clouds
218,Azad Shahr,IR,34.7909,48.5707,52.29,32,40,18.41,scattered clouds
219,Coihueco,CL,-36.6167,-71.8333,86.74,19,0,13.8,clear sky
220,Guerrero Negro,MX,27.9769,-114.0611,62.76,55,0,10.31,clear sky
221,Porto Murtinho,BR,-21.6989,-57.8825,91.11,58,100,4.5,overcast clouds
222,Beringovskiy,RU,63.05,179.3167,2.46,95,100,12.88,overcast clouds
223,Baculin,PH,7.4525,126.5842,75.36,86,17,9.28,few clouds
224,Bolobo,CD,-2.1667,16.2333,81.73,52,100,0.25,overcast clouds
225,Opuwo,NA,-18.0607,13.84,67.37,36,0,8.52,clear sky
226,Medeiros Neto,BR,-17.3739,-40.2206,88.63,41,100,6.11,overcast clouds
227,Betioky,MG,-23.7167,44.3833,70.45,95,100,15.37,moderate rain
228,Shestakovo,RU,56.4915,103.96,17.94,95,100,5.75,light snow
229,Neiafu,TO,-18.65,-173.9833,81.28,83,75,9.22,broken clouds
230,Saint-Augustin,CA,51.226,-58.6502,17.55,71,100,7.05,overcast clouds
231,Nabire,ID,-3.3667,135.4833,73.44,93,70,3.8,broken clouds
232,Tonantins,BR,-2.8731,-67.8022,85.28,73,100,4.63,moderate rain
233,Cherskiy,RU,68.75,161.3,-41.24,97,37,3.18,scattered clouds
234,Vitim,RU,59.4511,112.5578,17.37,96,100,5.26,light snow
235,Puerto Quijarro,BO,-17.7833,-57.7667,92.12,46,100,2.57,overcast clouds
236,Necochea,AR,-38.5473,-58.7368,69.89,36,4,14.07,clear sky
237,Kahului,US,20.8947,-156.47,72.97,86,20,11.5,light rain
238,Batsfjord,NO,70.6345,29.7185,28.33,100,100,34.52,snow
239,Tual,ID,-5.6667,132.75,82.11,79,100,20.11,overcast clouds
240,Mahina,PF,-17.5065,-149.489,85.77,70,40,5.75,light rain
241,Lompoc,US,34.6391,-120.4579,54.52,73,100,10.36,overcast clouds
242,Marawi,PH,7.9986,124.2928,66.27,96,64,1.68,broken clouds
243,Acapulco,MX,16.8634,-99.8901,84.65,58,4,10.31,clear sky
244,Beira,MZ,-19.8436,34.8389,80.69,100,40,9.22,light rain
245,Russell,US,32.3502,-85.1999,75.96,41,0,9.22,clear sky
246,Kieta,PG,-6.2167,155.6333,75.76,88,100,6.22,light rain
247,Najran,SA,17.4924,44.1277,77.65,27,98,11.41,overcast clouds
248,Naze,JP,28.3667,129.4833,54.52,63,0,11.77,clear sky
249,Karratha,AU,-20.7377,116.8463,84.56,72,100,6.42,overcast clouds
250,Atasu,KZ,48.6814,71.6433,5.49,86,100,5.35,overcast clouds
251,Khani,GE,41.9563,42.9566,36.97,92,99,2.28,overcast clouds
252,Verkhnevilyuysk,RU,63.4453,120.3167,8.76,93,94,7.87,overcast clouds
253,Kapoeta,SS,4.7717,33.5903,91.0,26,100,7.9,overcast clouds
254,Grand Island,US,40.925,-98.342,46.2,53,40,5.01,scattered clouds
255,Batagay-Alyta,RU,67.8006,130.4114,-12.8,93,100,3.13,overcast clouds
256,Paka,MY,4.6374,103.4368,76.98,88,100,5.75,light rain
257,Phangnga,TH,8.4509,98.5298,78.84,90,99,3.33,overcast clouds
258,Walvis Bay,NA,-22.9575,14.5053,67.15,68,0,13.8,clear sky
259,Moindou,NC,-21.6924,165.677,76.17,86,15,9.06,few clouds
260,Jumla,NP,29.2747,82.1838,41.09,71,2,3.6,clear sky
261,Madawaska,US,47.3561,-68.3288,31.08,49,100,4.0,overcast clouds
262,Siderno,IT,38.2779,16.302,46.33,87,24,7.72,few clouds
263,Aksu,CN,41.1231,80.2644,45.5,41,7,3.2,clear sky
264,Saskylakh,RU,71.9167,114.0833,-21.39,100,94,2.93,overcast clouds
265,Kruisfontein,ZA,-34.0033,24.7314,70.88,88,0,3.18,clear sky
266,Mecca,SA,21.4267,39.8261,83.14,48,99,3.09,overcast clouds
267,Severo-Kurilsk,RU,50.6789,156.125,19.94,70,99,21.07,overcast clouds
268,Winchester,GB,51.0651,-1.3187,41.99,66,75,9.22,broken clouds
269,Deputatskiy,RU,69.3,139.9,-25.74,99,100,3.02,overcast clouds
270,Talant,FR,47.3369,5.0089,39.81,65,8,10.36,clear sky
271,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,70,100,11.52,overcast clouds
272,Nantucket,US,41.2835,-70.0995,42.91,90,100,31.07,light rain
273,Itoman,JP,26.1247,127.6694,60.82,67,100,9.22,overcast clouds
274,Copiapo,CL,-27.3667,-70.3333,71.29,31,5,10.16,clear sky
275,Plettenberg Bay,ZA,-34.0527,23.3716,67.55,93,100,5.64,light rain
276,Hibbing,US,47.4272,-92.9377,33.48,69,75,3.44,broken clouds
277,Katsuura,JP,35.1333,140.3,52.41,64,100,16.33,moderate rain
278,Hambantota,LK,6.1241,81.1185,75.54,100,75,2.3,broken clouds
279,Gazli,UZ,40.1333,63.45,64.71,36,100,14.83,overcast clouds
280,Luderitz,NA,-26.6481,15.1594,62.74,84,0,5.86,clear sky
281,Oksfjord,NO,70.2396,22.3479,26.78,95,100,28.25,light snow
282,Acucena,BR,-19.0731,-42.5464,86.52,70,78,3.02,broken clouds
283,Vancouver,CA,49.2497,-123.1193,40.23,88,100,9.22,overcast clouds
284,Whitianga,NZ,-36.8333,175.7,62.28,90,32,5.57,scattered clouds
285,Saint-Francois,FR,46.4154,3.9054,39.96,70,35,9.22,scattered clouds
286,Richmond,US,37.5538,-77.4603,64.15,36,0,17.27,clear sky
287,San Patricio,US,28.017,-97.5169,82.17,33,0,8.57,clear sky
288,Meulaboh,ID,4.1363,96.1285,75.61,87,95,4.32,overcast clouds
289,Nanortalik,GL,60.1432,-45.2371,38.17,90,80,19.77,broken clouds
290,Satipo,PE,-11.2522,-74.6386,90.03,47,100,3.29,overcast clouds
291,Raver,IN,21.25,76.0333,82.44,31,83,6.53,broken clouds
292,Tommot,RU,58.9564,126.2925,26.04,93,100,18.3,light snow
293,Pelym,RU,61.0108,61.9978,16.79,96,100,5.79,light snow
294,Muzhi,RU,65.3667,64.6667,-17.84,100,54,2.42,broken clouds
295,Kaitangata,NZ,-46.2817,169.8464,49.3,85,88,3.42,overcast clouds
296,Aklavik,CA,68.2191,-135.0107,-29.2,68,20,2.3,few clouds
297,La Rochelle,FR,46.1667,-1.15,44.92,75,5,6.91,clear sky
298,Manoel Urbano,BR,-8.8389,-69.2597,83.48,82,98,2.68,overcast clouds
299,Yangjiang,CN,21.85,111.9667,63.07,85,2,2.75,clear sky
300,Isangel,VU,-19.55,169.2667,78.33,87,83,6.02,broken clouds
301,Berga,NO,60.392,5.328,31.15,85,40,12.66,scattered clouds
302,Korla,CN,41.7597,86.1469,41.52,50,40,1.66,scattered clouds
303,Bilibino,RU,68.0546,166.4372,-14.13,93,100,1.12,overcast clouds
304,Nouakchott,MR,18.0858,-15.9785,80.53,51,100,12.77,overcast clouds
305,Labuhan,ID,-6.8844,112.2051,76.96,84,97,8.14,overcast clouds
306,Tiarei,PF,-17.5333,-149.3333,86.02,81,100,9.1,light rain
307,Kalianget,ID,-7.05,113.9333,77.99,81,100,4.59,moderate rain
308,Kilindoni,TZ,-7.9139,39.6668,81.95,72,93,16.11,overcast clouds
